0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
15	15	15	8	0	0	11	0	1	0	0	5	15	15	0	0	0	0	0	1	15	0	0	0	0	15	0	5	14	15	0	0	0	3	15	1	15	0	0	0	15	15	15
15	14	15	7	0	0	10	0	0	0	0	0	15	15	0	0	0	0	0	7	15	0	0	1	1	15	0	4	14	15	0	0	0	4	15	0	15	0	0	0	15	15	15
16	16	16	5	0	0	12	0	0	0	0	2	16	16	0	0	0	0	0	1	16	0	0	1	1	16	0	0	14	16	0	0	0	3	16	2	16	1	0	0	16	16	16
15	15	15	6	0	0	9	0	0	0	0	2	15	15	0	0	0	0	0	2	15	0	0	0	0	15	0	6	15	15	0	0	0	5	15	2	15	0	0	1	15	15	15
16	15	16	0	0	0	8	0	1	0	0	1	16	16	0	0	0	0	0	2	16	0	0	0	0	16	0	5	13	16	0	0	0	3	16	3	16	0	0	0	16	16	16
15	14	15	1	0	0	3	0	0	0	0	0	15	15	0	0	0	0	0	1	15	0	0	0	0	15	0	5	15	15	0	0	0	2	15	0	15	0	0	1	15	15	15
15	15	15	1	0	0	4	0	0	0	0	0	15	15	0	0	0	0	0	2	15	0	0	0	0	15	0	10	15	15	0	0	0	1	15	0	15	1	0	0	15	15	15
16	15	15	7	0	0	9	0	0	0	0	0	16	16	0	0	0	0	0	0	16	0	0	0	0	16	0	10	15	16	0	0	0	1	16	3	16	0	0	0	16	16	16
15	15	15	6	0	0	3	0	0	0	0	1	15	15	0	0	0	0	0	1	14	0	0	0	0	15	0	4	13	15	0	0	0	1	15	0	15	0	0	0	15	15	15
15	15	15	3	0	0	0	0	0	0	0	1	15	15	0	0	0	0	0	0	15	0	0	0	0	15	0	9	12	15	0	0	0	0	15	0	15	0	0	0	15	15	15
