X	Y
973	866411.312
974	856727.562
975	852348.938
976	841062.000
977	864746.875
978	846390.375
979	846160.250
980	881033.062
981	858920.750
982	857880.125
983	858188.000
984	862228.625
985	847606.812
986	867389.125
987	887719.875
988	876775.750
989	874572.938
990	881766.625
991	862879.625
992	878888.875
993	883936.938
994	877379.688
995	858423.000
996	851341.125
997	850479.250
998	862790.688
999	864587.625
1000	874530.250
1001	848944.312
1002	870459.625
1003	872902.938
1004	876234.688
1005	856072.250
1006	858414.062
1007	868568.812
1008	867717.562
1009	873256.062
1010	881063.250
1011	881993.375
1012	875480.875
1013	891514.000
1014	898479.125
1015	887048.125
1016	886350.812
1017	862349.438
1018	876710.500
1019	887860.562
1020	891629.688
1021	878583.062
1022	891776.500
1023	881863.062
1024	888179.000
1025	896073.688
1026	887071.625
1027	902081.688
1028	883759.250
1029	889661.062
1030	894275.875
1031	899954.125
1032	906096.875
1033	901291.750
1034	896095.875
1035	890862.812
1036	881989.750
1037	879703.562
1038	882663.562
1039	872017.062
1040	861572.250
1041	872429.938
1042	890635.188
1043	878016.000
1044	876488.562
1045	864498.875
1046	866615.188
1047	876816.500
1048	862440.312
1049	863880.688
1050	875405.562
1051	866333.125
1052	855283.438
1053	845469.375
1054	862075.625
1055	852578.750
1056	852674.250
1057	865022.750
1058	864438.250
1059	865495.875
1060	865476.250
1061	852202.438
1062	876309.062
1063	859747.250
1064	853851.750
1065	835116.438
1066	838004.875
1067	851593.875
1068	851679.625
1069	851427.500
1070	853838.250
1071	852768.312
1072	827961.125
1073	840494.750
1074	826840.875
1075	822066.562
1076	818650.062
1077	828573.188
1078	815136.688
1079	826538.438
1080	827549.250
1081	820502.500
1082	847511.062
1083	822663.688
1084	811718.312
1085	804039.125
1086	824219.125
1087	828409.062
1088	830639.438
1089	843242.938
1090	813967.875
1091	815055.062
1092	819873.250
1093	813186.250
1094	814850.000
1095	818778.812
1096	832175.750
1097	827203.750
1098	829525.188
1099	826475.125
1100	840266.688
1101	834562.688
1102	830939.562
1103	820368.250
1104	845186.938
1105	834796.875
1106	828499.375
1107	830110.188
1108	829712.438
1109	820757.125
1110	827879.312
1111	824067.500
1112	816891.000
1113	819180.125
1114	822060.000
1115	826073.375
1116	814480.062
1117	823714.188
1118	811544.250
1119	805205.188
1120	823814.438
1121	821169.938
1122	810122.000
1123	809440.188
1124	821081.000
1125	816410.062
1126	815375.500
1127	820592.812
1128	821014.250
1129	798200.812
1130	811052.688
1131	794123.375
1132	809574.625
1133	812482.750
1134	815328.500
1135	815959.500
1136	816547.500
1137	802197.750
1138	819774.938
1139	809799.125
1140	814619.688
1141	822063.688
1142	813855.500
1143	812397.062
1144	803235.500
1145	789450.062
1146	804122.688
1147	807058.875
1148	795684.625
1149	812569.562
1150	794791.375
1151	801684.500
1152	799191.188
1153	787453.938
1154	795005.000
1155	796675.062
1156	804074.812
1157	800880.312
1158	796561.938
1159	777999.375
1160	799823.062
1161	806030.438
1162	810591.562
1163	810696.000
1164	813507.312
1165	811649.000
1166	813423.000
1167	803849.562
1168	790558.438
1169	802605.812
1170	816953.875
1171	812500.688
1172	824249.688
1173	806976.125
1174	796005.938
1175	799127.500
1176	798263.688
1177	800333.688
1178	794423.062
1179	807960.375
1180	802571.875
1181	792717.250
1182	799537.438
1183	809472.438
1184	787569.312
1185	798714.312
1186	800613.688
1187	788557.188
1188	798137.562
1189	789720.812
1190	781320.000
1191	798066.062
1192	789666.688
1193	780371.250
1194	807730.125
1195	785668.750
1196	787643.062
1197	787361.250
1198	809120.688
1199	790124.375
1200	797666.812
1201	774328.438
1202	800677.125
1203	794465.188
1204	780181.562
1205	785807.375
1206	783973.625
1207	797101.312
1208	795604.500
1209	764500.938
1210	769637.562
1211	783630.250
1212	787835.562
1213	778802.875
1214	784145.000
1215	799367.812
1216	796488.188
1217	800427.188
1218	783611.438
1219	771034.375
1220	772530.625
1221	792190.938
1222	795318.438
1223	797079.500
1224	787916.688
1225	787392.375
1226	799220.375
1227	794625.312
1228	777916.688
1229	800069.375
1230	806325.062
1231	796710.562
1232	792838.125
1233	781268.500
1234	791329.562
1235	794812.250
1236	795358.250
1237	793532.000
1238	792707.375
1239	810880.375
1240	788115.750
1241	786565.562
1242	794446.875
1243	784261.188
1244	788243.938
1245	774067.000
1246	785755.562
1247	780118.625
1248	786016.625
1249	795451.500
1250	774191.438
1251	775268.188
1252	771650.000
1253	789165.188
1254	789490.938
1255	785725.312
1256	781655.562
1257	789525.438
1258	779233.500
1259	783873.688
1260	791339.312
1261	803440.938
1262	782964.750
1263	789970.062
1264	789592.250
1265	783469.250
1266	784594.312
1267	796157.688
1268	765213.688
1269	788952.062
1270	777407.312
1271	772688.438
1272	780670.438
1273	782296.938
1274	769818.375
1275	783336.438
1276	770330.375
1277	782371.500
1278	781160.938
1279	758483.812
1280	778691.812
1281	764047.438
1282	780909.500
1283	761015.125
1284	760750.500
1285	764637.375
1286	768506.625
1287	762861.438
1288	751668.188
1289	765649.875
1290	777485.125
1291	767074.875
1292	771126.562
1293	768128.250
1294	768464.250
1295	757813.750
1296	765984.250
1297	782027.250
1298	774716.062
1299	762650.938
1300	761865.312
1301	770742.000
1302	785481.812
1303	776778.625
1304	765378.562
1305	753435.312
1306	766828.562
1307	775098.250
1308	765523.938
1309	757871.688
1310	771742.562
1311	778331.188
1312	758467.812
1313	764985.250
1314	753864.062
1315	747037.750
1316	758604.125
1317	770576.688
1318	744242.438
1319	767806.375
1320	758167.000
1321	770766.875
1322	766888.375
1323	762169.938
1324	758592.000
1325	755833.500
1326	746800.438
1327	763254.000
1328	763620.750
1329	753275.562
1330	771774.125
1331	760436.250
1332	755640.438
1333	767830.562
1334	763051.062
1335	757965.188
1336	770722.750
1337	762075.688
1338	754856.562
1339	756624.688
1340	755534.562
1341	762785.312
1342	760168.938
1343	760268.000
1344	769596.938
1345	766815.375
1346	763807.562
1347	753797.375
1348	759094.312
1349	760722.375
1350	765045.312
1351	751625.625
1352	755428.750
1353	765009.750
1354	761701.688
1355	753249.812
1356	739039.750
1357	749053.938
1358	739275.500
1359	747517.000
1360	756762.312
1361	775877.875
1362	764179.750
1363	761810.750
1364	736904.812
1365	760409.688
1366	748659.562
1367	759233.812
1368	751337.188
1369	755374.438
1370	731375.750
1371	733167.375
1372	748692.938
1373	736904.938
1374	750045.750
1375	746893.875
1376	743316.625
1377	746859.625
1378	733820.062
1379	763554.375
1380	753520.750
1381	751839.625
1382	758948.250
1383	748080.875
1384	757989.188
1385	759197.188
1386	752331.000
1387	749800.125
1388	760796.312
1389	764173.312
1390	766184.250
1391	738472.312
1392	751468.000
1393	749124.625
1394	739468.688
1395	747793.375
1396	758951.375
1397	770275.000
1398	769861.250
1399	749280.125
1400	703789.625
