0352-0189	0337-0171	0286-0282	0191-0179	0333-0052	0238-0025	0092-0194	0108-0187	0150-0210	0385-0257	0467-0211	0424-0101	0394-0028	0303-0091	0236-0141	0241-0121	0265-0080	0249-0282	0215-0224	0150-0114	0113-0055	0056-0089	0480-0313	0428-0179	0362-0184	0040-0395	0483-0444	0473-0431	0453-0320	0500-0178	0457-0132	0359-0116	0309-0174	0242-0205	0207-0185	0139-0068	0257-0011	0216-0085	0171-0179	0389-0271	0359-0343	Average	Err
1309346.834	1035409.063	1714572.227	1201492.302	853807.631	861287.524	1367101.973	1269999.111	820489.792	788301.109	715924.006	701817.258	1498674.969	1916695.930	854899.767	475371.948	2218119.106	154237.889	329894.280	1684068.023	1541624.579	865467.873	1094117.507	741990.252	791471.078	1251327.917	830450.127	641305.557	862575.565	1669822.445	898935.341	925269.994	475371.948	681162.326	1008949.463	1498056.401	1541624.579	1079183.945	1097381.572	767528.942	2021974.380	1074563.476	71457.436
1402115.090	970821.909	1634585.655	1140645.865	847859.505	906737.630	1393464.391	1227631.049	835721.069	769495.711	768685.865	815474.916	1419942.503	1730128.984	828281.282	533671.612	2037615.979	149894.029	378694.834	1724970.650	1540890.318	846923.168	1117408.681	833211.317	836785.438	1291409.900	824511.256	643378.763	708926.935	1582379.119	811575.314	1002032.606	1223791.607	765150.308	1079142.295	1587372.399	1694577.512	1082184.232	1141252.092	606030.204	1869448.737	1087922.457	65920.861
1179407.413	1049100.862	1460792.682	1212790.040	847484.662	836521.659	1521230.340	1284937.301	758904.466	730422.565	715944.059	639659.642	1383247.990	1599429.079	848194.241	532909.585	2088060.907	169776.136	362610.519	1757039.013	1519366.923	810729.989	1032239.094	752529.049	1785244.796	1331871.353	782946.869	606906.380	686959.282	1570103.395	907569.072	968142.475	1364590.679	817093.066	999220.512	1484932.266	1663153.941	776196.609	1165616.891	762531.034	1911213.658	1089698.061	68296.113
1220731.160	938070.190	1686671.871	1275811.493	1185343.199	822043.154	1289307.385	1146438.192	781404.305	721383.140	757349.562	697331.482	1504049.262	1821467.284	735047.172	443121.562	735047.172	161893.634	341151.912	1865492.061	1515738.812	810955.204	1515738.812	718256.362	834392.921	1311660.680	759564.684	718256.362	650061.151	1659860.567	995411.922	844689.536	1293240.923	723283.579	995411.922	1383564.216	1675019.343	1022112.162	1003408.573	703734.665	1906439.422	1052925.781	66184.560
1272524.289	1029618.278	1428944.906	1263063.744	743978.617	985743.130	1231004.636	1200233.569	748236.094	1200233.569	787184.292	768636.503	1468394.438	2188000.544	844439.640	535741.733	2043172.295	153005.381	373243.413	1500377.960	1490832.574	778498.114	1081136.831	777854.865	829800.708	1333987.751	837320.707	584534.574	695448.011	1602238.088	890562.304	1002581.759	1246325.382	733285.564	1018531.871	1322853.524	1588814.696	1052437.427	1072379.695	657483.969	1903075.090	1079652.696	66464.545
1199044.253	970621.375	619860.833	1289615.898	1426595.581	939663.659	1311228.762	1182321.316	860048.845	739500.554	687584.020	760575.063	1573163.842	1840234.118	916801.318	436087.470	2064192.815	152827.986	307639.709	1567141.672	1551496.988	739500.554	1079639.001	712399.247	935356.820	1257106.362	732380.078	664818.860	723869.753	1610330.379	1013628.060	897995.920	1272152.531	790432.932	959016.666	1302015.027	1700607.395	1026770.705	1008883.133	681477.009	1820745.364	1056716.387	66160.039
1283609.154	1012167.252	1530607.586	1486049.083	911605.962	863106.207	1372755.470	1041326.339	863166.367	765026.903	798688.735	737100.324	1580731.661	1681785.029	857133.399	446237.542	2103006.810	173735.898	397952.203	1310659.556	1514507.846	672668.969	1001836.701	690638.297	837749.540	1250376.155	735261.588	522230.415	582691.210	1654808.669	810547.967	846989.499	1131513.886	730931.611	915215.562	974274.167	1722558.080	1075421.631	1123359.892	608859.266	1952599.107	1038329.062	67214.977
1160296.587	944936.142	1519448.678	1499318.218	848544.403	901215.251	1317337.315	1042767.094	771203.329	740614.285	702415.773	706395.588	1561099.449	1635292.150	907243.591	459091.727	1966298.618	123624.164	356083.931	1591153.223	1497336.024	781313.294	1037779.984	692318.149	821202.456	1258985.204	735253.875	620710.785	636446.481	1598247.475	849374.303	878342.112	1283081.597	802589.879	1043657.153	1309454.813	1731210.322	1086052.982	1073888.322	618693.112	1930272.036	1049770.485	66206.484
1269661.290	939021.952	1492978.280	1419765.108	780734.832	888598.620	731139.857	972213.302	839480.297	802691.688	733763.758	714393.782	1523203.279	1698281.208	809125.723	450527.412	1930005.172	882363.576	329056.667	1251115.043	1649065.704	731139.857	946736.314	658130.303	799476.985	1320804.999	781486.061	517334.316	662537.408	1622320.729	938333.968	931344.611	1182143.921	720801.593	1038451.000	1211873.757	1735492.479	1116702.186	1071316.868	675487.233	2005171.231	1043274.936	62853.409
1238484.529	916028.493	1561927.806	1315649.750	591773.827	880978.354	1161658.671	1014832.802	762197.841	771514.927	798185.859	947959.568	1471376.214	1822968.199	742428.340	437070.084	1952981.663	139159.326	302842.335	1388307.600	1518214.627	765392.491	972657.560	874061.497	886742.915	1201894.911	1995010.362	526575.817	702583.912	1555847.019	866862.351	923054.872	1255060.922	714094.525	952173.853	1273982.012	1590624.124	1035674.384	1128993.336	608979.586	1947565.721	1061326.170	68657.266
